"Name","Start","End","Duration"
"Active","9/25/2019 9:54:48 PM","9/25/2019 10:05:37 PM","0:10:49"
"Active","9/26/2019 7:58:40 AM","9/26/2019 8:50:38 AM","0:51:58"
"Away","9/26/2019 8:50:38 AM","9/26/2019 8:51:54 AM","0:01:16"
"Power off","9/26/2019 8:51:54 AM","9/26/2019 8:57:46 AM","0:05:52"
"Session lock","9/26/2019 8:57:46 AM","9/26/2019 8:57:51 AM","0:00:05"
"Active","9/26/2019 8:57:51 AM","9/26/2019 9:06:07 AM","0:08:16"
"Power off","9/26/2019 9:06:07 AM","9/26/2019 9:29:06 AM","0:22:59"
"Active","9/26/2019 9:29:06 AM","9/26/2019 11:11:58 AM","1:42:52"
"Away","9/26/2019 11:11:58 AM","9/26/2019 11:27:04 AM","0:15:06"
"Power off","9/26/2019 11:27:04 AM","9/26/2019 11:41:40 AM","0:14:36"
"Session lock","9/26/2019 11:41:40 AM","9/26/2019 11:41:46 AM","0:00:06"
"Active","9/26/2019 11:41:46 AM","9/26/2019 11:41:59 AM","0:00:13"
"Away","9/26/2019 11:41:59 AM","9/26/2019 11:46:39 AM","0:04:40"
"Power off","9/26/2019 11:46:39 AM","9/26/2019 11:47:26 AM","0:00:47"
"Active","9/26/2019 11:47:26 AM","9/26/2019 11:56:28 AM","0:09:02"
"Away","9/26/2019 11:56:28 AM","9/26/2019 11:57:05 AM","0:00:37"
"Power off","9/26/2019 11:57:05 AM","9/26/2019 12:23:32 PM","0:26:27"
"Session lock","9/26/2019 12:23:32 PM","9/26/2019 12:24:06 PM","0:00:34"
"Active","9/26/2019 12:24:06 PM","9/26/2019 12:36:22 PM","0:12:16"
"Away","9/26/2019 12:36:22 PM","9/26/2019 12:56:31 PM","0:20:09"
"Power off","9/26/2019 12:56:31 PM","9/26/2019 12:57:36 PM","0:01:05"
"Session lock","9/26/2019 12:57:36 PM","9/26/2019 12:57:44 PM","0:00:08"
"Active","9/26/2019 12:57:44 PM","9/26/2019 2:18:13 PM","1:20:29"
"Away","9/26/2019 2:18:13 PM","9/26/2019 2:29:14 PM","0:11:01"
"Active","9/26/2019 2:29:14 PM","9/26/2019 3:26:06 PM","0:56:52"
"Power off","9/26/2019 3:26:06 PM","9/26/2019 3:54:07 PM","0:28:01"
"Session lock","9/26/2019 3:54:07 PM","9/26/2019 3:54:14 PM","0:00:07"
"Active","9/26/2019 3:54:14 PM","9/26/2019 4:01:27 PM","0:07:13"
"Away","9/26/2019 4:01:27 PM","9/26/2019 4:11:39 PM","0:10:12"
"Power off","9/26/2019 4:11:39 PM","9/26/2019 4:25:14 PM","0:13:35"
"Session lock","9/26/2019 4:25:14 PM","9/26/2019 4:25:30 PM","0:00:16"
